banda_raw,n_filas_afectadas,motivo,ids_banda_candidatos,ejemplos
BM Nuestra Senora de la Soledad de Algaba,2,ambiguo_2_bandas_por_contencion,"176,84",Los Panaderos / Paso de Palio / 1987 ; Los Panaderos / Paso de Palio / 1988
BM Union Musical Sevillana,2,ambiguo_2_bandas_por_contencion,"118,250",Los Negritos / Paso de Virgen / 2004 ; Los Negritos / Paso de Virgen / 2005
Centuria Macarena,2,ambiguo_2_bandas_por_contencion,"279,5","Dolores de Torreblanca / Paso Cristo (corregido en post #740, sustituye a la versión del post original) / 1996 ; Dolores de Torreblanca / Paso Cristo (corregido en post #740, sustituye a la versión del post original) / 1997"
A. M. Ntra. Sra. de los Dolores y Misericordia,2,ambiguo_2_bandas_por_contencion,"3,87",Jesus Despojado / Paso de Cristo / 1981 ; Jesus Despojado / Paso de Cristo / 1982
B. Ntra. Sra. de la Salud de Utrera,1,ambiguo_5_bandas_por_contencion,"129,177,209,26,56",La Mision /  / 1996
AM Santa Marta de La Algaba,1,ambiguo_2_bandas_por_contencion,"115,73",Pino Montano / Paso de Misterio / 1991
"AM de las Aguas, de Las Cabezas de San Juan",1,ambiguo_2_bandas_por_contencion,"252,33",Dulce Nombre de Bellavista / Paso de Misterio / 1994
AM Ma Stma. de la Paz,1,ambiguo_2_bandas_por_contencion,"228,60",Dulce Nombre de Bellavista / Paso de Misterio / 2000
B. Stmo. Cristo de la Sangre,1,ambiguo_2_bandas_nombre_identico,"184,32",Padre Pio / Paso de Cristo / 1998
B. Virgen de Gracia (Carmona),1,ambiguo_2_bandas_nombre_identico,"202,255",Padre Pio / Paso de Cristo / 1999
B. Juvenil Stmo. Cristo de las Tres Caídas,1,ambiguo_2_bandas_por_contencion,"20,205",Divino Perdon de Alcosa / Paso de Cristo / 2001
CCTT Gracia y Esperanza,1,ambiguo_3_bandas_por_contencion,"120,166,255",La Borriquita / Paso de Misterio / 1981
CCTT del Rosario (despues Paton),1,ambiguo_5_bandas_nombre_identico,"107,131,145,167,24",La Amargura / Paso de Misterio / 1982
AM Ntra. Sra. de las Angustias,1,ambiguo_6_bandas_nombre_identico,"157,182,34,62,92,96",La Trinidad / Paso de las Cinco Llagas / 1987
A. M. Santa Marta de La Algaba,1,ambiguo_2_bandas_por_contencion,"115,73",Pino Montano / Paso de Cristo / 1991
A.M. Ntro. Padre Jesús de la Redención,1,ambiguo_3_bandas_por_contencion,"11,163,2",Pino Montano / Paso de Cristo / 1993
B. Ntra Sra de la Victoria Cigarreras,1,ambiguo_4_bandas_por_contencion,"1,100,16,269",Padre Pio / Paso de Palio / 2013
"A. M. de las Aguas, de Las Cabezas de San Juan",1,ambiguo_2_bandas_por_contencion,"252,33",Dulce Nombre de Bellavista / Paso de Cristo / 1994
B. Juvenil Ntra. Sra. de la Victoria (Cigarreras),1,ambiguo_4_bandas_por_contencion,"1,100,16,269",Dulce Nombre de Bellavista / Paso de Cristo / 1996
"B. Ntra Sra de la Victoria ""Cigarreras""",1,ambiguo_4_bandas_por_contencion,"1,100,16,269",La Milagrosa / Paso de Palio / 2026
A. M. Virgen de las Angustias,1,ambiguo_2_bandas_nombre_identico,"62,92",La Borriquita / Paso de Cristo / 1980
B. Ntra. Sra. de Gracia y Esperanza (Patón),1,ambiguo_3_bandas_por_contencion,"120,166,255",La Borriquita / Paso de Cristo / 1981
B. de cornetas de la Cruz Roja,1,ambiguo_2_bandas_nombre_identico,"14,169",Jesus Despojado / Paso de Cristo / 1980
A. M. Mª Stma. de la Paz y A. M. Ntra. Sra. de los Reyes,1,ambiguo_2_bandas_por_contencion,"228,60",La Paz / Paso de Cristo / 1999
A. M. Santa Cecilia,1,ambiguo_2_bandas_nombre_identico,"106,191",La Amargura / Paso de Virgen / 1987
