banda_raw,n_filas_afectadas,motivo,ejemplos
B. Municipal de Valverde del Camino,3,sin_match,Jesus Despojado / Paso de Virgen / 2010 ; Jesus Despojado / Paso de Virgen / 2011 ; Jesus Despojado / Paso de Virgen / 2012
BM Valverde del Camino,2,sin_match,Jesus Despojado / Paso de Palio / 2011 ; Jesus Despojado / Paso de Palio / 2012
BM Fernando Guerrero de los Palacios,2,sin_match,La Paz / Paso de Palio / 2000 ; La Paz / Paso de Palio / 2001
BM Álvarez Quintero de Utrera,2,sin_match,El Cerro del Aguila / Paso de Palio / 1989 ; El Cerro del Aguila / Paso de Palio / 1990
BM Ntra. Sra. Del Águila de Alcala de Guadaira,2,sin_match,Santa Cruz / Paso de Palio / 1985 ; Santa Cruz / Paso de Palio / 1986
AM El Cachorro,2,sin_match,El Cachorro / Paso de Cristo / 1980 ; El Cachorro / Paso de Cristo / 1981
A. M. Jesús Despojado/ AM Virgen de los Reyes,2,doblete_dos_bandas,Jesus Despojado / Paso de Cristo / 2010 ; Jesus Despojado / Paso de Cristo / 2011
B. Municipal Fernando Guerrero de Los Palacios,2,sin_match,La Paz / Paso de Virgen / 2000 ; La Paz / Paso de Virgen / 2001
B. Municipal de Carmona,2,sin_match,La Amargura / Paso de Virgen / 1985 ; La Amargura / Paso de Virgen / 1986
CyT Cristo de las Tres Caídas (ida)/CyT Salud de Córdoba (vuelta),2,doblete_dos_bandas,San Pablo / Paso de Cristo / 2023 ; San Pablo / Paso de Cristo / 2024
AM Sta María Magdalena Arahal (ida)/AM Virgen de los Reyes (vuelta),2,doblete_dos_bandas,San Pablo / Paso de Cristo / 2025 ; San Pablo / Paso de Cristo / 2026
BM Ntra Sra de las Nieves de Olivares (ida) y BM Municipal Puebla del Rio (vuelta),2,doblete_dos_bandas,San Pablo / Paso de Palio / 2025 ; San Pablo / Paso de Palio / 2026
B. de S. Francisco Javier,1,sin_match,La Mision /  / 1997
AM Sta. Maria la Blanca (Los Palacios),1,sin_match,Dolores de Torreblanca / Paso de Misterio / 1995
BM de Guillena,1,sin_match,Jesus Despojado / Paso de Palio / 1989
BM Carrion de los Cespedes,1,sin_match,San Roque / Paso de Palio / 1989
Banda de Montserrat,1,sin_match,La Amargura / Paso de Palio / 1984
BM Cuartel General de la Región Sur (Soria 9),1,sin_match,El Museo / Paso de Palio / 1997
CCTT Cristo de la Sed (hasta la Encarnacion) / CCTT Nuestra Senora de la Salud de Utrera (desde la Encarnacion),1,doblete_dos_bandas,La Sed / Paso de Cristo / 2003
BM Municipal de Huevar,1,sin_match,La Sed / Paso de Palio / 1984
BM Municipal de Carrion de los Cespedes,1,sin_match,La Sed / Paso de Palio / 1985
BM Nuestra Senora de Belen,1,sin_match,Cristo de Burgos / Paso de Palio / 1985
Banda Municipal de Valverde del Camino,1,sin_match,Las Siete Palabras / Paso de Palio / 2009
BM Asociacion Musical de Camas,1,sin_match,Los Panaderos / Paso de Palio / 1997
AM Santa Agueda de Villalba del Alcor,1,sin_match,La Esperanza de Triana / Paso de Misterio / 1980
AM Virgen de los Reyes hasta la Catedral y AM Ntro. Padre Jesus de la Salud hasta la entrada,1,doblete_dos_bandas,Los Gitanos / Paso del Senor / 2006
BM Nuestra Senora de la Hiniesta (Cruz Roja),1,sin_match,La Carreteria / Paso de Palio / 1980
CCTT Guardia Civil de Valdemoro,1,sin_match,El Cachorro / Paso de Cristo / 1988
Banda de Musica Municipal de Estepona,1,sin_match,El Cachorro / Paso de Palio / 1980
B. Municipal de La Rinconada,1,sin_match,Pino Montano / Paso de Palio / 1993
B. Municipal de Gerena,1,sin_match,Pino Montano / Paso de Palio / 1994
B. Municipal de Puebla del Río,1,sin_match,Pino Montano / Paso de Palio / 1995
B. Municipal de Aracena (Huelva),1,sin_match,Padre Pio / Paso de Palio / 1997
B. Fernando Guerrero Los Palacios,1,sin_match,Padre Pio / Paso de Palio / 2019
B. de Música de Puebla del Río,1,sin_match,Dolores de Torreblanca / Paso de Virgen / 1995
A. Musical de Carrión de los Céspedes,1,sin_match,San Roque / Paso de Virgen / 1989
B. Maestro Enrique Montero de Chiclana (ida)/B. Ntra Sra de la Victoria de Las Cigarreras (vuelta),1,doblete_dos_bandas,San Pablo / Paso de Palio / 2008
"BM Municipal de Mairena del Alcor (nota: costalero_prado propuso ""BM Julián Cerdán Sanlucar de Barrameda"" para 2026 pero fue corregido en #751-752: ""sigue siendo Mairena del Alcor"", error de una IA)",1,sin_match,Las Aguas / Paso de Palio / 2026
