DIA,DIA_ORDEN,ORDEN_POR_CO,NOMBRE,LOCALIZACION,HORA_SALIDA,HORA_CO,HORA_ENTRADA,MENCIONA_CCTT_AM,ACOMPANAMIENTO_RAW,CONTEXTO_FICHA
Lunes Santo,3,2,Presentación al Pueblo,Parroquia de San Vicente Ferrer,16:00,19:51,01:30,True,En el paso de Nuestro Padre Jesús de los Aﬂ igidos la banda de cornetas y tambores Santísimo Cristo de la Elevación de Campo de Criptana (Ciudad Real).,"En el paso de Nuestro Padre Jesús de los Aﬂ igidos la banda de cornetas y tambores Santísimo Cristo de la Elevación de Campo de Criptana (Ciudad Real). 2 varas acompañamiento al Senatus, 4 candelabros arbóreos de 3 luces, 2 ropajes de mayordomo para servir a la Cruz de guía, plumaje del casco del romano, ropajes de las imágenes secundarias y enlosado del paso de tribunal."
Lunes Santo,3,3,Redención,Parroquia de San Fernando,16:15,20:07,01:10,True,En la Cruz de Guía la Agrupación Musical Ntro. Padre Jesús Nazareno (Villanueva del Duque-Córdoba) En el paso de Nuestro Padre Jesús la Redención la Agrupación musical de Nuestro Padre jesús de la Redención de Córdoba. En el paso de Nuestra Señora de la Estrella la Banda de Música “La Estrella”de Córdoba.,En la Cruz de Guía la Agrupación Musical Ntro. Padre Jesús Nazareno (Villanueva del Duque-Córdoba) En el paso de Nuestro Padre Jesús la Redención la Agrupación musical de Nuestro Padre jesús de la Redención de Córdoba. En el paso de Nuestra Señora de la Estrella la Banda de Música “La Estrella”de Córdoba. Pasado a terciopelo color rosa palo y enriquecimiento de saya y cinturilla bordada en oro ﬁ no para Ntra. Señora de la Estrella (Bordada por Alberto Vico García bajo diseño de Miguel Ortiz Cabello). Juego de varas de representación civil en madera y metal plateado (Jesús Amaro Fernández).
Lunes Santo,3,4,Sentencia,Parroquia de San Nicolás de la Villa,18:15,20:43,00:00,True,En el paso de Nuestro Padre Jesús de la Sentencia la Banda de cornetas y tambores Nuestra Señora del Sol y el paso de María Santísima de Gracia y Amparo la Banda de música de la Soledad de Cantillana.,En el paso de Nuestro Padre Jesús de la Sentencia la Banda de cornetas y tambores Nuestra Señora del Sol y el paso de María Santísima de Gracia y Amparo la Banda de música de la Soledad de Cantillana. Nuevo juego de varales para el paso de palio de María Santísima de Gracia y Amparo diseñado por Javier Sánchez de los Reyes y ejecutado por el Taller Ramón León.
Lunes Santo,3,5,Vía Crucis,Parroquia de San Juan y Todos los Santos (Trinidad),20:15,21:27,01:05,False,Tambores roncos.,"Tambores roncos. La cruz de guía, inspirada en la existente en la Santa Iglesia Catedral, obra del escultor granadino Alonso Cano, realizada por Rafael Centella en 1992."
Lunes Santo,3,6,Ánimas,Parroquia de San Lorenzo,19:34,21:55,01:24,False,Coro de hermanos en el Señor y coro de hermanas en la Virgen.,Coro de hermanos en el Señor y coro de hermanas en la Virgen. El pasado 8 de noviembre el paso de Nuestra Señora de las Tristezas en su salida extraordinaria estrenó juego de coronillas de Orfebrería Santos. Velo de tinieblas obra de Jesús Castizo.
Martes Santo,4,1,Agonía,Parroquia de Santa Victoria,16:50,19:00,01:50,True,En el paso del Santísimo Cristo de la Agonía la banda de Cornetas y Tambores Nuestra Señora de la Salud de Córdoba y en el paso de Nuestra Señora de la Salud la Banda de Música Santa Cecilia de Montoro.,"En el paso del Santísimo Cristo de la Agonía la banda de Cornetas y Tambores Nuestra Señora de la Salud de Córdoba y en el paso de Nuestra Señora de la Salud la Banda de Música Santa Cecilia de Montoro. Restauración Corona de Nuestra Señora de la Salud, y restauración Candelabros de cola paso Nuestra Señora de la Salud."
Martes Santo,4,2,Universitaria,Iglesia del Juramento de San Rafael,17:10,19:31,23:20,False,Riguroso silencio.,Riguroso silencio. Sistema de elevación de la cruz del paso de Cristo.
Martes Santo,4,3,Sangre,Iglesia Conventual del Santo Ángel (Capuchinos),17:00,19:42,23:15,True,"En el paso del Nuestro Padre Jesús de la Sangre la Banda de Cornetas y Tambores “Esencia”, de Sevilla y en el paso de Nuestra Señora Reina de los Ángeles la Banda de Música “María Santísima de la Esperanza”, de Córdoba.","En el paso del Nuestro Padre Jesús de la Sangre la Banda de Cornetas y Tambores “Esencia”, de Sevilla y en el paso de Nuestra Señora Reina de los Ángeles la Banda de Música “María Santísima de la Esperanza”, de Córdoba. Restauración del baquetón del Paso de Misterio de Ntro. Padre Jesús de la Sangre, por Rafael Barón Jiménez. Restauración de las ﬁ guras de dos romanos, por Carmen Isabel Bernal Humanes."
Martes Santo,4,4,Buen Suceso,Parroquia de San Andrés,17:10,20:13,23:30,True,En el paso de misterio de Nuestro Padre Jesús del Buen Suceso la BCT. “Monte Calvario” de Martos (Jaén) y en el paso de palio de María Santísima de la Caridad la Banda de Música de La Estrella (Córdoba).,En el paso de misterio de Nuestro Padre Jesús del Buen Suceso la BCT. “Monte Calvario” de Martos (Jaén) y en el paso de palio de María Santísima de la Caridad la Banda de Música de La Estrella (Córdoba). El pasado mes de enero la hermandad adquirio una Casa de Hermandad.
Martes Santo,4,5,Santa Faz,Parroquia de San Juan y Todos los Santos (Trinidad),19:00,20:39,00:20,True,"En el paso de misterio de nuestro Padre Jesús nazareno de la Santa Faz, la Agrupación Musical La Pasión de Linares (Jaén). En el paso de palio de María Santísima de la Trinidad, la Banda de Música de Tubamirum de Cañete de las Torres (Córdoba).","En el paso de misterio de nuestro Padre Jesús nazareno de la Santa Faz, la Agrupación Musical La Pasión de Linares (Jaén). En el paso de palio de María Santísima de la Trinidad, la Banda de Música de Tubamirum de Cañete de las Torres (Córdoba). Bambalinas laterales del paso de palio. Realizadas en hilo de oro a realce por el taller de Jesús Rosado (Écija) en terciopelo azul plumo. Nueva tanda de candelería del paso de palio. Obra del taller de Orfebrería Bernet (La Algaba). Paño de la Santa Mujer Verónica. Obra de Raúl Muñoz Gallardo."
