LOCALIDAD,DIA,DIA_ORDEN,ORDEN_PAGINA,HERMANDAD,ETIQUETA_RAW,TIPO_NORMALIZADO,BANDA_TEXTO,BANDA_URL,ES_CCTT_AM
Sevilla,Lunes Santo,4,1,San Pablo,Paso de Misterio,cristo,Agrupación Musical Santa María Magdalena de Arahal,https://musicofrades.com/directorio/284-agrupacion-musical-santa-maria-magdalena-de-arahal/,True
Sevilla,Lunes Santo,4,1,San Pablo,Paso de Palio,virgen,Banda de Música de la Asociación Filarmónica Cultural Santa María de las Nieves de Olivares,https://musicofrades.com/directorio/64-banda-de-musica-de-la-asociacion-filarmonica-cultural-santa-maria-de-las-nieves-de-olivares/,False
Sevilla,Lunes Santo,4,2,La Redención,Cruz de Guía,cruz_guia,Agrupación Musical Juvenil María Santísima del Rocío de Sevilla,https://musicofrades.com/directorio/1386-agrupacion-musical-juvenil-maria-santisima-del-rocio-de-sevilla/,True
Sevilla,Lunes Santo,4,2,La Redención,Paso de Misterio,cristo,Agrupación Musical Nuestro Padre Jesús de la Redención de Sevilla,https://musicofrades.com/directorio/353-agrupacion-musical-nuestro-padre-jesus-de-la-redencion-de-sevilla/,True
Sevilla,Lunes Santo,4,2,La Redención,Paso de Palio,virgen,Banda de Música de la Cruz Roja de Sevilla,https://musicofrades.com/directorio/288-banda-de-musica-de-la-cruz-roja-de-sevilla/,False
Sevilla,Lunes Santo,4,3,Santa Genoveva,Cruz de Guía,cruz_guia,Agrupación Musical Juvenil María Santísima de las Angustias Coronada de Sevilla,https://musicofrades.com/directorio/1007-agrupacion-musical-juvenil-maria-santisima-de-las-angustias-coronada-de-sevilla/,True
Sevilla,Lunes Santo,4,3,Santa Genoveva,Paso de Misterio,cristo,Agrupación Musical Nuestro Padre Jesús de la Pasión de Linares,https://musicofrades.com/directorio/829-agrupacion-musical-nuestro-padre-jesus-de-la-pasion-de-linares/,True
Sevilla,Lunes Santo,4,3,Santa Genoveva,Paso de Palio,virgen,Banda de Música de la Sociedad Filarmónica Nuestra Señora del Carmen de Salteras,https://musicofrades.com/directorio/214-banda-de-musica-de-la-sociedad-filarmonica-nuestra-senora-del-carmen-de-salteras/,False
Sevilla,Lunes Santo,4,4,Santa Marta,Paso de Misterio,cristo,Silencio,,False
Sevilla,Lunes Santo,4,5,San Gonzalo,Cruz de Guía,cruz_guia,Banda de Cornetas y Tambores Sagrada Columna y Azotes de Sevilla,https://musicofrades.com/directorio/709-banda-de-cornetas-y-tambores-sagrada-columna-y-azotes-de-sevilla/,True
Sevilla,Lunes Santo,4,5,San Gonzalo,Paso de Misterio,cristo,Banda de Cornetas y Tambores Nuestra Señora de la Victoria – Las Cigarreras – de Sevilla,https://musicofrades.com/directorio/372-banda-de-cornetas-y-tambores-nuestra-senora-de-la-victoria-las-cigarreras-de-sevilla/,True
Sevilla,Lunes Santo,4,5,San Gonzalo,Paso de Palio,virgen,Banda de Música Santa Ana de Dos Hermanas,https://musicofrades.com/directorio/386-banda-de-musica-santa-ana-de-dos-hermanas/,False
Sevilla,Lunes Santo,4,6,Vera Cruz,Paso de Cristo,cristo,Capilla Musical,,False
